gmaps_link,name,rating,reviews,address_1,address_2,image
https://www.google.fr/maps/place/Sculpt+My+Body/data=!4m7!3m6!1s0x47f4eb86a9800b73:0xe3944bc5f35260aa!8m2!3d45.7634678!4d4.8689192!16s%2Fg%2F11f9yx7jln!19sChIJcwuAqYbr9EcRqmBS88VLlOM?authuser=0&hl=fr&rclk=1,Sculpt My Body,"4,5",64,,,https://lh3.googleusercontent.com/p/AF1QipMv_jdVGeA2nv1WdIAfDR6qSHdhsbdBcTQp9_Lc=w80h106kno
https://www.google.fr/maps/place/COOLSCULPTING+Cryolipolyse+Lyon/data=!4m7!3m6!1s0x47f4eaf0154d9259:0x40166f7b46bdc092!8m2!3d45.763252!4d4.8458776!16s%2Fg%2F11ffw48168!19sChIJWZJNFfDq9EcRksC9RntvFkA?authuser=0&hl=fr&rclk=1,COOLSCULPTING Cryolipolyse Lyon,1,1,,,https://lh3.googleusercontent.com/gpscss/AHVAwerJutOP_wrwegi19b4W1XN4RZdwZ3TJpz_rzhpKJM3RbvHQsnDX22DBynC9NO5OpNbbHsTuc2_QS_B3QRh6gIscvL6Cnj6fqCTythUEspumpXbZ3yYWpxcngPxyQPgsJbbmCb7lgVsOM4b=w163h92kno
"https://www.google.fr/maps/place/Maison+Yok%C5%8D,+centre+de+m%C3%A9decine+esth%C3%A9tique+et+laser./data=!4m7!3m6!1s0x47f4ebaf8b814457:0xdb90bbedc4b1d06d!8m2!3d45.7565542!4d4.8306105!16s%2Fg%2F11ryzvkpxg!19sChIJV0SBi6_r9EcRbdCxxO27kNs?authuser=0&hl=fr&rclk=1","Maison Yokō, centre de médecine esthétique et laser.","4,9",504,,,https://lh3.googleusercontent.com/p/AF1QipOSnz3ecax5Ku6fUoZxzBHmbsehS0MsYm_hEVy=w138h92kno
"https://www.google.fr/maps/place/DERMASHAPE++Cryolipolyse,+%C3%89pilation+laser,+Hifu/data=!4m7!3m6!1s0x2d8cd1d706e22593:0xb75c19348ea2d755!8m2!3d45.776212!4d4.825892!16s%2Fg%2F11y3my44lx!19sChIJkyXiBtfRjC0RVdeijjQZXLc?authuser=0&hl=fr&rclk=1","DERMASHAPE  Cryolipolyse, Épilation laser, Hifu",5,100,,,https://lh3.googleusercontent.com/p/AF1QipOLGxsIQH9fGy2Dbn3Hp3PTbD40WUPXoVaOTht=w92h92kno
https://www.google.fr/maps/place/Dr+G%C3%A9rard+Rivalier++M%C3%A9decin+morphologue+et+anti%C3%A2ge/data=!4m7!3m6!1s0x47f4ebf1f9fee3a9:0x92fd8b0bd9857ebb!8m2!3d45.7528838!4d4.826714!16s%2Fg%2F1tfss730!19sChIJqePfHr9EcRu36F2QuL_ZI?authuser=0&hl=fr&rclk=1,Dr Gérard Rivalier  Médecin morphologue et antiâge,"4,7",93,,,https://lh3.googleusercontent.com/p/AF1QipMEcCJSRYmIrhFBjkO62r1ihhNb5Fsa8KQ9bm=w92h92kno
"https://www.google.fr/maps/place/Cabinet+Dr+Gobin:+implants+capillaires,+%C3%A9pilation+laser+et+m%C3%A9decine+esth%C3%A9tique+%C3%A0+Lyon/data=!4m7!3m6!1s0x47f4ea45e9c9a7b3:0xe7deff6560671a92!8m2!3d45.7501569!4d4.8392203!16s%2Fg%2F1v5k2bxx!19sChIJs6fJ6UXq9EcRkhpnYGX_3uc?authuser=0&hl=fr&rclk=1","Cabinet Dr Gobin: implants capillaires, épilation laser et médecine esthétique à Lyon","4,5",96,,,https://lh3.googleusercontent.com/p/AF1QipN6Dq0DtTGPslM0gvpwP2wHWOzkKYEqy03hXdOA=w138h92kno
https://www.google.fr/maps/place/My+Laser+Lyon++Epilation+Laser+et+M%C3%A9decine+Esth%C3%A9tique/data=!4m7!3m6!1s0x47f4eb5d95a979d3:0x5cf0192de7df773c!8m2!3d45.759149!4d4.8348403!16s%2Fg%2F11qmr4llzq!19sChIJ03mplV3r9EcRPHff5y0Z8Fw?authuser=0&hl=fr&rclk=1,My Laser Lyon  Epilation Laser et Médecine Esthétique,"4,8",1 114,,,https://lh3.googleusercontent.com/p/AF1QipPFYyWutWynWJY8UDrPmzaHkBtPU3LjSe1jPx05=w80h106kno
https://www.google.fr/maps/place/Clinique+Crillon/data=!4m7!3m6!1s0x47f4ea8da07a20bd:0x8b388a0c13413409!8m2!3d45.7711478!4d4.8553726!16s%2Fg%2F1tgmvm7h!19sChIJvSB6oI3q9EcRCTRBEwyKOIs?authuser=0&hl=fr&rclk=1,Clinique Crillon,"4,1",340,,,https://lh3.googleusercontent.com/p/AF1QipNhnt5eMD1awQA5boVbQx3LAa9mjPJVWikwKer5=w122h92kno
https://www.google.fr/maps/place/Centre+Lasers+Dermatologiques+%C3%A0+Lyon/data=!4m7!3m6!1s0x47f4ea56c1f51d8f:0x39f8c740b20e7a83!8m2!3d45.760095!4d4.836236!16s%2Fg%2F1tf_grz8!19sChIJjx31wVbq9EcRg3oOskDHDk?authuser=0&hl=fr&rclk=1,Centre Lasers Dermatologiques à Lyon,"4,7",608,,,https://lh3.googleusercontent.com/p/AF1QipP03fCZEj66klz6ft1qccrKi07ojAAtJ7JTjMlA=w80h92kno
https://www.google.fr/maps/place/Cryolipolyse+Zola+minceur/data=!4m7!3m6!1s0x47f4ebda43f1ba39:0xf31552f250dc1f18!8m2!3d45.7706676!4d4.8722749!16s%2Fg%2F11yd2h8tzj!19sChIJObrxQ9rr9EcRGB_cUPJSFfM?authuser=0&hl=fr&rclk=1,Cryolipolyse Zola minceur,5,6,,,https://lh3.googleusercontent.com/p/AF1QipMnMkcJay_31VvvL_uSnNvLvvxuRg4IVfcGz8bK=w92h92kno
